Report,Datetime,NameDeforest,NameAffectation,Description,Name,addres
Donec ut dolor.,2016-05-25 00:00:00,Ganadería,Significativa,Afectación significativa con impacto visible en los ecosistemas y en la calidad del medio ambiente.,Jieshui,473 Sycamore Court
Duis aliquam convallis nunc.,2019-10-06 00:00:00,Ganadería,Mínima,Casi ninguna afectación al medio ambiente.,Kiaranonggeng,20 Hanson Way
Aliquam quis turpis eget elit sodales scelerisque.,2018-03-12 00:00:00,Ganadería,Significativa,Afectación significativa con impacto visible en los ecosistemas y en la calidad del medio ambiente.,Atlanta,64222 Hoffman Center
"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2015-01-22 00:00:00,Petróleo y gas,Grave,Afectación grave con impacto masivo y daños irreparables al medio ambiente.,Kiaranonggeng,20 Hanson Way
Fusce posuere felis sed lacus.,2020-06-11 00:00:00,Petróleo y gas,Alta,Afectación alta con consecuencias a largo plazo y posibles daños irreversibles.,Valdemarsvik,48833 Oak Valley Hill
Duis consequat dui nec nisi volutpat eleifend.,2011-08-24 00:00:00,Petróleo y gas,Grave,Afectación grave con impacto masivo y daños irreparables al medio ambiente.,Arroio Grande,537 Fremont Terrace
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2021-09-20 00:00:00,Petróleo y gas,Significativa,Afectación significativa con impacto visible en los ecosistemas y en la calidad del medio ambiente.,Kiaranonggeng,20 Hanson Way
"In est risus, auctor sed, tristique in, tempus sit amet, sem.",2014-11-21 00:00:00,Construcción,Moderada,Afectación moderada con posibles consecuencias a corto plazo.,Hōjō,85835 Center Crossing
Sed sagittis.,2020-12-30 00:00:00,Construcción,Grave,Afectación grave con impacto masivo y daños irreparables al medio ambiente.,Alistráti,8 Maple Wood Circle
Etiam justo.,2020-03-03 00:00:00,Construcción,Mínima,Casi ninguna afectación al medio ambiente.,Porkhov,290 Packers Crossing
"In est risus, auctor sed, tristique in, tempus sit amet, sem.",2018-04-06 00:00:00,Construcción,Alta,Afectación alta con consecuencias a largo plazo y posibles daños irreversibles.,Puerto Nariño,5 Roxbury Trail
Curabitur convallis.,2016-08-10 00:00:00,Construcción,Mínima,Casi ninguna afectación al medio ambiente.,Brudzeń Duży,498 Manufacturers Road
Fusce posuere felis sed lacus.,2019-03-07 00:00:00,Mineria,Alta,Afectación alta con consecuencias a largo plazo y posibles daños irreversibles.,Puerto Nariño,5 Roxbury Trail
Morbi non lectus.,2022-12-21 00:00:00,Mineria,Alta,Afectación alta con consecuencias a largo plazo y posibles daños irreversibles.,Wairiang,79393 Thackeray Trail
Suspendisse potenti.,2012-11-26 00:00:00,Mineria,Mínima,Casi ninguna afectación al medio ambiente.,Atlanta,64222 Hoffman Center
"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",2017-12-21 00:00:00,Urbanización,Alta,Afectación alta con consecuencias a largo plazo y posibles daños irreversibles.,Tlogotunggal,41119 Bluejay Drive
Cras in purus eu magna vulputate luctus.,2010-09-17 00:00:00,Urbanización,Moderada,Afectación moderada con posibles consecuencias a corto plazo.,Atlanta,64222 Hoffman Center
Integer ac neque.,2020-06-24 00:00:00,Urbanización,Moderada,Afectación moderada con posibles consecuencias a corto plazo.,Valdemarsvik,48833 Oak Valley Hill
Nam tristique tortor eu pede.,2020-04-16 00:00:00,Urbanización,Alta,Afectación alta con consecuencias a largo plazo y posibles daños irreversibles.,Kabare,1 Knutson Lane
Nulla facilisi.,2021-03-14 00:00:00,Urbanización,Baja,"Afectación leve y reversible, con impacto mínimo en los ecosistemas.",Wairiang,79393 Thackeray Trail
Praesent lectus.,2019-11-06 00:00:00,Urbanización,Grave,Afectación grave con impacto masivo y daños irreparables al medio ambiente.,Qal‘at al Andalus,981 Caliangt Center
Suspendisse potenti.,2015-03-22 00:00:00,Urbanización,Significativa,Afectación significativa con impacto visible en los ecosistemas y en la calidad del medio ambiente.,Tlogotunggal,41119 Bluejay Drive
Duis ac nibh.,2019-07-06 00:00:00,Urbanización,Significativa,Afectación significativa con impacto visible en los ecosistemas y en la calidad del medio ambiente.,Sake,55 Morningstar Junction
Vestibulum rutrum rutrum neque.,2013-08-04 00:00:00,Urbanización,Alta,Afectación alta con consecuencias a largo plazo y posibles daños irreversibles.,Pengilon,01973 Carpenter Circle
Quisque ut erat.,2012-03-16 00:00:00,Tala de árboles,Significativa,Afectación significativa con impacto visible en los ecosistemas y en la calidad del medio ambiente.,Brunflo,08383 La Follette Junction
